ID Vítima Indiciado/suspeito,AIS,Município de ocorrência,Data da comunicação,Data da ocorrência,Tipo de local,Idade da vítima,Gênero da vítima,Profissão da vítima,faixa etaria
AI1116,AIS 14,Viçosa do Ceará,2016-12-30,2016-12-28,VIA PUBLICA,,NÃO INFORMADO,NÃO INFORMADO,
AI1023,AIS 22,Catarina,2017-01-31,2017-01-16,RESIDENCIA PARTICULAR,11.0,Masculino,ESTUDANTE,Adolecencia
AI0927,AIS 05,Fortaleza,2017-02-06,2017-01-23,"HOSPITAL, CLINICA, ETC",,NÃO INFORMADO,NÃO INFORMADO,
AI0697,AIS 21,Iguatu,2018-02-05,2017-01-31,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0176,AIS 11,Caucaia,2017-01-31,2017-01-31,NÃO INFORMADO,,NÃO INFORMADO,NÃO INFORMADO,
AI0755,AIS 19,Juazeiro do Norte,2017-01-31,2017-01-31,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0631,AIS 17,Itapipoca,2020-03-02,2017-02-06,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0980,AIS 20,Senador Pompeu,2017-02-09,2017-02-08,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0896,AIS 20,Choró,2017-05-03,2017-02-13,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0762,AIS 19,Juazeiro do Norte,2017-02-21,2017-02-20,VIA PUBLICA,,NÃO INFORMADO,NÃO INFORMADO,
AI0419,AIS 19,Antonina do Norte,2019-02-20,2017-02-21,RESIDENCIA PARTICULAR,3.0,Masculino,NÃO INFORMADO,Criança
AI0480,AIS 14,Camocim,2017-02-21,2017-02-21,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0496,AIS 19,Caririaçu,2017-03-14,2017-02-22,RESIDENCIA PARTICULAR,12.0,Masculino,NÃO INFORMADO,Adolecencia
AI0100,AIS 03,Fortaleza,2017-02-27,2017-02-26,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0409,AIS 18,Aracati,2017-02-28,2017-02-28,VIA PUBLICA,,NÃO INFORMADO,NÃO INFORMADO,
AI0410,AIS 18,Aracati,2017-02-28,2017-02-28,VIA PUBLICA,,NÃO INFORMADO,NÃO INFORMADO,
AI0124,AIS 11,Caucaia,2017-03-25,2017-03-09,RESIDENCIA PARTICULAR,45.0,Masculino,SERVIDOR PUBLICO,Adulto
AI0124,AIS 11,Caucaia,2017-03-25,2017-03-09,RESIDENCIA PARTICULAR,45.0,Masculino,SUB TENENTE BM,Adulto
AI0894,AIS 20,Quixadá,2017-03-19,2017-03-11,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0467,AIS 15,Boa Viagem,2017-03-30,2017-03-21,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0473,AIS 14,Camocim,2017-04-03,2017-03-21,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI1118,AIS 14,Viçosa do Ceará,2017-03-22,2017-03-22,VIA PUBLICA,11.0,Masculino,CRIANÇA,Adolecencia
AI0663,AIS 21,Icó,2017-08-09,2017-03-28,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0666,AIS 21,Icó,2018-03-19,2017-03-29,EVENTO,,NÃO INFORMADO,NÃO INFORMADO,
AI0274,AIS Não Identificada (Fortaleza),Fortaleza,2018-04-06,2017-04-06,RESIDENCIA PARTICULAR,1.0,Masculino,NÃO TEM,Criança
AI0274,AIS Não Identificada (Fortaleza),Fortaleza,2018-04-06,2017-04-06,RESIDENCIA PARTICULAR,3.0,Feminino,NÃO TEM,Criança
AI0274,AIS Não Identificada (Fortaleza),Fortaleza,2018-04-06,2017-04-06,RESIDENCIA PARTICULAR,0.0,Feminino,NÃO TEM,Criança
AI0992,AIS 14,Forquilha,2017-04-09,2017-04-09,RESIDENCIA PARTICULAR,6.0,Feminino,NÃO INFORMADO,Criança
AI0992,AIS 14,Forquilha,2017-04-09,2017-04-09,RESIDENCIA PARTICULAR,9.0,Feminino,NÃO INFORMADO,Criança
AI0992,AIS 14,Forquilha,2017-04-09,2017-04-09,RESIDENCIA PARTICULAR,4.0,Feminino,NÃO INFORMADO,Criança
AI0010,AIS 09,Fortaleza,2018-01-16,2017-04-14,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0533,AIS 16,Crateús,2017-04-15,2017-04-15,RESIDENCIA PARTICULAR,77.0,Feminino,APOSENTADA,Idoso
AI0339,AIS 12,Maracanaú,2017-08-03,2017-04-15,RESIDENCIA PARTICULAR,5.0,Masculino,NÃO INFORMADO,Criança
AI0339,AIS 12,Maracanaú,2017-08-03,2017-04-15,RESIDENCIA PARTICULAR,4.0,Masculino,NÃO INFORMADO,Criança
AI0339,AIS 12,Maracanaú,2017-08-03,2017-04-15,RESIDENCIA PARTICULAR,1.0,Feminino,NÃO INFORMADO,Criança
AI0394,AIS 18,Aracati,2017-04-23,2017-04-23,NÃO INFORMADO,11.0,Masculino,NÃO INFORMADO,Adolecencia
AI0237,AIS 06,Fortaleza,2017-05-14,2017-05-04,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0505,AIS 13,Cascavel,2018-04-02,2017-05-06,VIA PUBLICA,,NÃO INFORMADO,NÃO INFORMADO,
AI0535,AIS 16,Crateús,2017-05-08,2017-05-08,RESIDENCIA PARTICULAR,7.0,Masculino,ESTUDANTE,Criança
AI0028,AIS 05,Fortaleza,2017-05-08,2017-05-08,RESIDENCIA PARTICULAR,1.0,Feminino,NÃO INFORMADO,Criança
AI0798,AIS 21,Lavras da Mangabeira,2017-07-21,2017-05-11,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0869,AIS 14,Graça,2017-05-15,2017-05-15,RESIDENCIA PARTICULAR,1.0,Feminino,NÃO INFORMADO,Criança
AI0994,AIS 14,Sobral,2017-05-18,2017-05-17,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0243,AIS 03,Fortaleza,2017-05-19,2017-05-19,RESIDENCIA PARTICULAR,,Feminino,NÃO INFORMADO,
AI0243,AIS 03,Fortaleza,2017-05-19,2017-05-19,RESIDENCIA PARTICULAR,1.0,Masculino,NÃO INFORMADO,Criança
AI0243,AIS 03,Fortaleza,2017-05-19,2017-05-19,RESIDENCIA PARTICULAR,15.0,Masculino,NÃO INFORMADO,Adolecencia
AI0537,AIS 16,Tamboril,2017-05-19,2017-05-19,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0116,AIS 08,Fortaleza,2022-05-27,2017-05-20,VIA PUBLICA,,NÃO INFORMADO,NÃO INFORMADO,
AI0188,AIS 13,Eusébio,2017-09-28,2017-05-22,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0170,AIS 12,Maracanaú,2017-08-24,2017-05-23,RESIDENCIA PARTICULAR,15.0,Feminino,NÃO INFORMADO,Adolecencia
AI0168,AIS 12,Maracanaú,2017-05-30,2017-05-28,NÃO INFORMADO,,NÃO INFORMADO,NÃO INFORMADO,
AI0092,AIS 12,Maracanaú,2017-07-04,2017-05-29,RESIDENCIA PARTICULAR,16.0,Masculino,ESTUDANTE,Jovem
AI0489,AIS 19,Campos Sales,2017-06-01,2017-06-01,RESIDENCIA PARTICULAR,11.0,Masculino,ESTUDANTE,Adolecencia
AI0681,AIS 19,Antonina do Norte,2017-06-02,2017-06-02,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0862,AIS 21,Orós,2018-07-16,2017-06-05,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0239,AIS 09,Fortaleza,2017-06-09,2017-06-09,RESIDENCIA PARTICULAR,13.0,Feminino,ESTUDANTE,Adolecencia
AI0239,AIS 09,Fortaleza,2017-06-09,2017-06-09,RESIDENCIA PARTICULAR,7.0,Feminino,ESTUDANTE,Criança
AI0640,AIS 18,Jaguaribara,2017-06-13,2017-06-13,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0128,AIS 11,Caucaia,2017-06-16,2017-06-16,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0330,AIS 14,Sobral,2017-06-21,2017-06-21,RESIDENCIA PARTICULAR,3.0,Feminino,NÃO INFORMADO,Criança
AI0240,AIS 09,Fortaleza,2017-06-24,2017-06-24,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0307,AIS 08,Fortaleza,2017-06-30,2017-06-29,RESIDENCIA PARTICULAR,16.0,Feminino,NÃO TEM,Jovem
AI0514,AIS 14,Chaval,2017-07-13,2017-07-07,"BAR, RESTAURANTE, ETC",,NÃO INFORMADO,NÃO INFORMADO,
AI1129,AIS 14,Sobral,2018-05-21,2017-07-07,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0780,AIS 19,Juazeiro do Norte,2017-07-08,2017-07-08,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0781,AIS 19,Juazeiro do Norte,2017-07-08,2017-07-08,VIA PUBLICA,,NÃO INFORMADO,NÃO INFORMADO,
AI0258,AIS 01,Fortaleza,2017-07-18,2017-07-18,RESIDENCIA PARTICULAR,83.0,Feminino,NÃO INFORMADO,Idoso
AI0539,AIS 16,Crateús,2017-07-21,2017-07-21,VIA PUBLICA,,NÃO INFORMADO,NÃO INFORMADO,
AI1128,AIS 14,Sobral,2017-08-10,2017-07-21,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0925,AIS 18,São João do Jaguaribe,2017-07-24,2017-07-24,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0831,AIS 14,Croatá,2019-10-31,2017-08-02,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI1020,AIS 22,Catarina,2017-08-06,2017-08-06,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0606,AIS 25,Horizonte,2017-08-15,2017-08-11,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0541,AIS 16,Crateús,2017-08-14,2017-08-12,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0291,AIS 05,Fortaleza,2017-09-10,2017-08-13,RESIDENCIA PARTICULAR,12.0,Masculino,ESTUDANTE,Adolecencia
AI0940,AIS 16,Hidrolândia,2017-08-14,2017-08-13,VIA PUBLICA,4.0,Masculino,NÃO INFORMADO,Criança
AI0940,AIS 16,Hidrolândia,2017-08-14,2017-08-13,VIA PUBLICA,10.0,Masculino,NÃO INFORMADO,Adolecencia
AI0589,AIS 14,Guaraciaba do Norte,2017-08-14,2017-08-13,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0005,AIS 01,Fortaleza,2017-08-18,2017-08-18,RESIDENCIA PARTICULAR,64.0,Feminino,FISCAL FAZENDARIA,Idoso
AI0005,AIS 01,Fortaleza,2017-08-18,2017-08-18,RESIDENCIA PARTICULAR,61.0,Feminino,PENSIONISTA,Idoso
AI0005,AIS 01,Fortaleza,2017-08-18,2017-08-18,RESIDENCIA PARTICULAR,20.0,Feminino,NÃO INFORMADO,Jovem
AI0005,AIS 01,Fortaleza,2017-08-18,2017-08-18,RESIDENCIA PARTICULAR,26.0,Masculino,NÃO INFORMADO,Adulto
AI0005,AIS 01,Fortaleza,2017-08-18,2017-08-18,RESIDENCIA PARTICULAR,85.0,Masculino,MILITAR,Idoso
AI0005,AIS 01,Fortaleza,2017-08-18,2017-08-18,RESIDENCIA PARTICULAR,64.0,Feminino,APOSENTADA,Idoso
AI0005,AIS 01,Fortaleza,2017-08-18,2017-08-18,RESIDENCIA PARTICULAR,38.0,Masculino,METALURGICO,Adulto
AI0171,AIS 12,Maracanaú,2017-08-24,2017-08-24,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0299,AIS 08,Fortaleza,2017-09-03,2017-09-02,VIA PUBLICA,,Masculino,NÃO INFORMADO,
AI0299,AIS 08,Fortaleza,2017-09-03,2017-09-02,VIA PUBLICA,4.0,Masculino,NÃO TEM,Criança
AI0252,AIS 07,Fortaleza,2017-09-05,2017-09-05,RESIDENCIA PARTICULAR,2.0,Feminino,NÃO INFORMADO,Criança
AI0252,AIS 07,Fortaleza,2017-09-05,2017-09-05,RESIDENCIA PARTICULAR,13.0,Masculino,VENDEDOR,Adolecencia
AI0276,AIS 15,Acarape,2018-04-10,2017-09-07,RESIDENCIA PARTICULAR,12.0,Feminino,ESTUDANTE,Adolecencia
AI0550,AIS 16,Poranga,2017-09-12,2017-09-12,RESIDENCIA PARTICULAR,34.0,Feminino,DELEGADA,Adulto
AI0550,AIS 16,Poranga,2017-09-12,2017-09-12,RESIDENCIA PARTICULAR,,Feminino,ESTUDANTE,
AI0550,AIS 16,Poranga,2017-09-12,2017-09-12,RESIDENCIA PARTICULAR,,Masculino,ESTUDANTE,
AI0550,AIS 16,Poranga,2017-09-12,2017-09-12,RESIDENCIA PARTICULAR,,Feminino,ESTUDANTE,
AI0939,AIS 16,Catunda,2017-09-13,2017-09-13,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0042,AIS 08,Fortaleza,2017-09-19,2017-09-18,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0277,AIS 07,Fortaleza,2017-09-21,2017-09-20,RESIDENCIA PARTICULAR,4.0,Feminino,ESTUDANTE,Criança
AI0032,AIS 09,Fortaleza,2017-09-23,2017-09-23,VIA PUBLICA,,NÃO INFORMADO,NÃO INFORMADO,
AI1101,AIS 21,Várzea Alegre,2018-03-05,2017-10-03,"HOSPITAL, CLINICA, ETC",,NÃO INFORMADO,NÃO INFORMADO,
AI0910,AIS 15,Redenção,2017-10-11,2017-10-11,REPARTICAO PUBLICA,2.0,Masculino,NÃO INFORMADO,Criança
AI0058,AIS 09,Fortaleza,2017-10-26,2017-10-15,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0714,AIS 16,Independência,2017-10-17,2017-10-16,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0121,AIS 11,Caucaia,2017-11-07,2017-10-23,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0713,AIS 16,Independência,2017-10-31,2017-10-25,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0551,AIS 16,Crateús,2017-10-31,2017-10-31,"BAR, RESTAURANTE, ETC",,NÃO INFORMADO,NÃO INFORMADO,
AI0495,AIS 19,Caririaçu,2017-11-13,2017-11-13,RESIDENCIA PARTICULAR,16.0,Feminino,ESTUDANTE,Jovem
AI0495,AIS 19,Caririaçu,2017-11-13,2017-11-13,RESIDENCIA PARTICULAR,14.0,Feminino,NÃO INFORMADO,Adolecencia
AI0495,AIS 19,Caririaçu,2017-11-13,2017-11-13,RESIDENCIA PARTICULAR,7.0,Masculino,ESTUDANTE,Criança
AI0495,AIS 19,Caririaçu,2017-11-13,2017-11-13,RESIDENCIA PARTICULAR,11.0,Masculino,NÃO INFORMADO,Adolecencia
AI1012,AIS 16,Tamboril,2018-03-12,2017-11-22,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0838,AIS 22,Mombaça,2018-10-09,2017-12-08,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0628,AIS 17,Itapipoca,2017-12-13,2017-12-09,RESIDENCIA PARTICULAR,33.0,Feminino,CABELEREIRA,Adulto
AI0999,AIS 14,Groaíras,2018-05-28,2017-12-10,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0672,AIS 21,Iguatu,2018-04-14,2017-12-14,RESIDENCIA PARTICULAR,14.0,Masculino,ESTUDANTE,Adolecencia
AI0941,AIS 16,Hidrolândia,2018-02-21,2017-12-20,RESIDENCIA PARTICULAR,15.0,Feminino,ESTUDANTE,Adolecencia
AI0555,AIS 16,Tamboril,2017-12-23,2017-12-23,CASA COMERCIAL,,NÃO INFORMADO,NÃO INFORMADO,
AI0567,AIS 19,Crato,2019-04-10,2017-12-26,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0567,AIS 19,Crato,2019-04-10,2017-12-26,RESIDENCIA PARTICULAR,13.0,Masculino,ESTUDANTE,Adolecencia
AI0567,AIS 19,Crato,2019-04-10,2017-12-26,RESIDENCIA PARTICULAR,11.0,Masculino,NÃO INFORMADO,Adolecencia
AI0516,AIS 15,Ocara,2018-01-17,2017-12-29,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0928,AIS 18,Russas,2017-12-29,2017-12-29,VIA PUBLICA,,NÃO INFORMADO,NÃO INFORMADO,
AI0872,AIS 23,Paracuru,2018-01-04,2018-01-04,VIA PUBLICA,,NÃO INFORMADO,NÃO INFORMADO,
AI0415,AIS 19,Potengi,2018-01-16,2018-01-07,RESIDENCIA PARTICULAR,89.0,Feminino,APOSENTADA,Idoso
AI0836,AIS 22,Piquet Carneiro,2018-01-11,2018-01-11,REPARTICAO PUBLICA,9.0,Masculino,ESTUDANTE,Criança
AI0918,AIS 18,Iracema,2018-01-19,2018-01-18,RESIDENCIA PARTICULAR,11.0,Masculino,ESTUDANTE,Adolecencia
AI0918,AIS 18,Iracema,2018-01-19,2018-01-18,RESIDENCIA PARTICULAR,14.0,Masculino,ESTUDANTE,Adolecencia
AI0918,AIS 18,Iracema,2018-01-19,2018-01-18,RESIDENCIA PARTICULAR,13.0,Feminino,DO LAR,Adolecencia
AI0079,AIS 12,Maracanaú,2018-02-08,2018-01-23,RESIDENCIA PARTICULAR,17.0,Masculino,S/PROFISSÃO,Jovem
AI0097,AIS 12,Maracanaú,2018-01-31,2018-01-23,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0059,AIS 12,Maracanaú,2018-09-20,2018-02-02,RESIDENCIA PARTICULAR,,Masculino,AGRICULTOR(A),
AI0064,AIS 12,Maracanaú,2018-05-17,2018-02-06,RESIDENCIA PARTICULAR,9.0,Masculino,ESTUDANTE,Criança
AI0064,AIS 12,Maracanaú,2018-05-17,2018-02-06,RESIDENCIA PARTICULAR,6.0,Masculino,ESTUDANTE,Criança
AI0333,AIS 14,Sobral,2019-01-03,2018-02-08,RESIDENCIA PARTICULAR,9.0,Masculino,ESTUDANTE,Criança
AI0082,AIS 12,Maracanaú,2018-02-11,2018-02-11,RESIDENCIA PARTICULAR,37.0,Feminino,NÃO INFORMADA,Adulto
AI0035,AIS 02,Fortaleza,2018-03-02,2018-02-21,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0077,AIS 05,Fortaleza,2018-04-25,2018-02-25,"HOSPITAL, CLINICA, ETC",,NÃO INFORMADO,NÃO INFORMADO,
AI0987,AIS 14,Meruoca,2018-03-01,2018-03-01,VIA PUBLICA,5.0,Feminino,NÃO INFORMADO,Criança
AI0987,AIS 14,Meruoca,2018-03-01,2018-03-01,VIA PUBLICA,3.0,Masculino,NÃO INFORMADO,Criança
AI0293,AIS 03,Fortaleza,2018-03-06,2018-03-02,EDIFICIO PUBLICO,,NÃO INFORMADO,NÃO INFORMADO,
AI0873,AIS 23,Paracuru,2019-09-14,2018-03-07,RESIDENCIA PARTICULAR,15.0,Feminino,NÃO TEM,Adolecencia
AI0956,AIS 14,São Benedito,2018-04-10,2018-03-10,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0229,AIS 01,Fortaleza,2018-03-11,2018-03-10,RESIDENCIA PARTICULAR,5.0,Feminino,NÃO INFORMADO,Criança
AI0229,AIS 01,Fortaleza,2018-03-11,2018-03-10,RESIDENCIA PARTICULAR,1.0,Masculino,NÃO INFORMADO,Criança
AI0229,AIS 01,Fortaleza,2018-03-11,2018-03-10,RESIDENCIA PARTICULAR,2.0,Feminino,NÃO INFORMADO,Criança
AI0022,AIS 11,Caucaia,2018-03-14,2018-03-14,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0294,AIS 08,Fortaleza,2018-03-20,2018-03-15,RESIDENCIA PARTICULAR,8.0,Feminino,NÃO INFORMADO,Criança
AI0912,AIS 15,Redenção,2018-03-15,2018-03-15,VIA PUBLICA,,NÃO INFORMADO,NÃO INFORMADO,
AI0185,AIS 13,Aquiraz,2018-03-19,2018-03-15,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0765,AIS 19,Juazeiro do Norte,2018-03-18,2018-03-18,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0485,AIS 19,Campos Sales,2018-04-10,2018-03-18,"HOSPITAL, CLINICA, ETC",,NÃO INFORMADO,NÃO INFORMADO,
AI0273,AIS 01,Fortaleza,2018-03-22,2018-03-22,RESIDENCIA PARTICULAR,6.0,Feminino,NÃO TEM,Criança
AI0332,AIS 14,Sobral,2018-12-27,2018-03-26,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0965,AIS 18,Palhano,2018-04-09,2018-03-27,RESIDENCIA PARTICULAR,11.0,Feminino,ESTUDANTE,Adolecencia
AI0965,AIS 18,Palhano,2018-04-09,2018-03-27,RESIDENCIA PARTICULAR,7.0,Feminino,ESTUDANTE,Criança
AI0848,AIS 20,Morada Nova,2018-03-27,2018-03-27,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0486,AIS 19,Salitre,2018-04-05,2018-04-02,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0004,AIS 06,Fortaleza,2018-04-11,2018-04-04,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI1084,AIS 17,Uruburetama,2018-08-10,2018-04-07,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0105,AIS 07,Fortaleza,2018-04-08,2018-04-08,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0127,AIS 11,Caucaia,2018-04-22,2018-04-22,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0060,AIS 12,Maracanaú,2018-05-15,2018-04-25,RESIDENCIA PARTICULAR,13.0,Masculino,ESTUDANTE,Adolecencia
AI0822,AIS 19,Mauriti,2018-05-14,2018-04-26,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0086,AIS 12,Maracanaú,2018-05-02,2018-04-26,RESIDENCIA PARTICULAR,12.0,Masculino,NÃO INFORMADO,Adolecencia
AI0590,AIS 14,Guaraciaba do Norte,2018-05-03,2018-05-03,VIA PUBLICA,20.0,Masculino,AUTONOMO(A),Jovem
AI0590,AIS 14,Guaraciaba do Norte,2018-05-03,2018-05-03,VIA PUBLICA,16.0,Masculino,PADREIRO,Jovem
AI0590,AIS 14,Guaraciaba do Norte,2018-05-03,2018-05-03,VIA PUBLICA,49.0,Masculino,FUNCIONARIO PÚBLICO,Adulto
AI0590,AIS 14,Guaraciaba do Norte,2018-05-03,2018-05-03,VIA PUBLICA,24.0,Masculino,COMERCIANTE,Jovem
AI0590,AIS 14,Guaraciaba do Norte,2018-05-03,2018-05-03,VIA PUBLICA,24.0,Masculino,MOTORISTA,Jovem
AI0590,AIS 14,Guaraciaba do Norte,2018-05-03,2018-05-03,VIA PUBLICA,,Masculino,AUXILIAR DE ESCRITORIO,
AI0590,AIS 14,Guaraciaba do Norte,2018-05-03,2018-05-03,VIA PUBLICA,23.0,Masculino,ESTUDANTE,Jovem
AI0160,AIS 12,Maracanaú,2018-07-26,2018-05-04,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0152,AIS 12,Maracanaú,2018-05-05,2018-05-05,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0423,AIS 19,Assaré,2018-05-09,2018-05-05,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0491,AIS 19,Campos Sales,2018-08-21,2018-05-09,RESIDENCIA PARTICULAR,68.0,Feminino,APOSENTADA,Idoso
AI0192,AIS 13,Aquiraz,2018-05-18,2018-05-11,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0432,AIS 19,Antonina do Norte,2018-06-25,2018-05-11,RESIDENCIA PARTICULAR,5.0,Masculino,NÃO INFORMADO,Criança
AI0432,AIS 19,Antonina do Norte,2018-06-25,2018-05-11,RESIDENCIA PARTICULAR,,Feminino,ESTUDANTE,
AI0432,AIS 19,Antonina do Norte,2018-06-25,2018-05-11,RESIDENCIA PARTICULAR,12.0,Feminino,ESTUDANTE,Adolecencia
AI0432,AIS 19,Antonina do Norte,2018-06-25,2018-05-11,RESIDENCIA PARTICULAR,10.0,Feminino,ESTUDANTE,Adolecencia
AI0497,AIS 19,Juazeiro do Norte,2018-05-25,2018-05-16,VIA PUBLICA,,NÃO INFORMADO,NÃO INFORMADO,
AI0531,AIS 16,Crateús,2018-05-18,2018-05-16,RESIDENCIA PARTICULAR,87.0,Masculino,APOSENTADO,Idoso
AI0232,AIS Não Identificada (Fortaleza),Fortaleza,2018-05-17,2018-05-16,VIA PUBLICA,,NÃO INFORMADO,NÃO INFORMADO,
AI0454,AIS 18,Beberibe,2018-06-12,2018-05-17,VIA PUBLICA,10.0,Masculino,ESTUDANTE,Adolecencia
AI0772,AIS 19,Juazeiro do Norte,2020-06-17,2018-05-17,"HOSPITAL, CLINICA, ETC",,NÃO INFORMADO,NÃO INFORMADO,
AI0488,AIS 19,Campos Sales,2018-05-29,2018-05-18,RESIDENCIA PARTICULAR,3.0,Masculino,NÃO INFORMADO,Criança
AI0488,AIS 19,Campos Sales,2018-05-29,2018-05-18,RESIDENCIA PARTICULAR,7.0,Feminino,ESTUDANTE,Criança
AI0488,AIS 19,Campos Sales,2018-05-29,2018-05-18,RESIDENCIA PARTICULAR,9.0,Feminino,ESTUDANTE,Criança
AI0488,AIS 19,Campos Sales,2018-05-29,2018-05-18,RESIDENCIA PARTICULAR,14.0,Masculino,ESTUDANTE,Adolecencia
AI0488,AIS 19,Campos Sales,2018-05-29,2018-05-18,RESIDENCIA PARTICULAR,5.0,Masculino,NÃO INFORMADO,Criança
AI0488,AIS 19,Campos Sales,2018-05-29,2018-05-18,RESIDENCIA PARTICULAR,12.0,Masculino,ESTUDANTE,Adolecencia
AI0659,AIS 21,Icó,2018-05-28,2018-05-28,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0304,AIS 01,Fortaleza,2018-11-16,2018-05-28,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0711,AIS 16,Independência,2018-05-29,2018-05-29,PROPRIEDADE AGRICOLA,,NÃO INFORMADO,NÃO INFORMADO,
AI0323,AIS 19,Crato,2018-05-31,2018-05-31,RESIDENCIA PARTICULAR,6.0,Feminino,ESTUDANTE,Criança
AI0323,AIS 19,Crato,2018-05-31,2018-05-31,RESIDENCIA PARTICULAR,3.0,Feminino,ESTUDANTE,Criança
