ID Vítima Indiciado/suspeito,AIS,Município de ocorrência,Data da comunicação,Data da ocorrência,Tipo de local,Idade da vítima,Gênero da vítima,Profissão da vítima,faixa etaria
AI0084,AIS 12,Maracanaú,2015-07-07,2015-07-07,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0087,AIS 12,Maracanaú,2015-07-09,2015-07-09,RESIDENCIA PARTICULAR,17.0,Masculino,ESTUDANTE,Jovem
AI0183,AIS 24,Maranguape,2015-07-09,2015-07-09,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0802,AIS 18,Limoeiro do Norte,2015-08-25,2015-07-13,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0593,AIS 14,Guaraciaba do Norte,2016-07-19,2015-07-14,RESIDENCIA PARTICULAR,5.0,Feminino,ESTUDANTE,Criança
AI0593,AIS 14,Guaraciaba do Norte,2016-07-19,2015-07-14,RESIDENCIA PARTICULAR,11.0,Masculino,ESTUDANTE,Adolecencia
AI0158,AIS 12,Maracanaú,2015-07-18,2015-07-18,VIA PUBLICA,,NÃO INFORMADO,NÃO INFORMADO,
AI0978,AIS 20,Senador Pompeu,2015-08-25,2015-07-24,NÃO INFORMADO,,NÃO INFORMADO,NÃO INFORMADO,
AI0492,AIS 15,Paramoti,2017-07-19,2015-07-24,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0246,AIS 09,Fortaleza,2015-07-26,2015-07-26,RESIDENCIA PARTICULAR,12.0,Feminino,ESTUDANTE,Adolecencia
AI0951,AIS 14,São Benedito,2015-07-28,2015-07-27,VIA PUBLICA,,NÃO INFORMADO,NÃO INFORMADO,
AI1049,AIS 14,São Benedito,2015-07-29,2015-07-28,RESIDENCIA PARTICULAR,5.0,Feminino,Não informado,Criança
AI0006,AIS 10,Fortaleza,2015-07-31,2015-07-31,NÃO INFORMADO,,NÃO INFORMADO,NÃO INFORMADO,
AI0088,AIS 12,Maracanaú,2015-07-31,2015-07-31,RESIDENCIA PARTICULAR,17.0,Masculino,ESTUDANTE,Jovem
AI0823,AIS 19,Mauriti,2015-08-03,2015-08-01,NÃO INFORMADO,,NÃO INFORMADO,NÃO INFORMADO,
AI0095,AIS 12,Maracanaú,2015-08-11,2015-08-05,NÃO INFORMADO,,NÃO INFORMADO,NÃO INFORMADO,
AI0665,AIS 21,Icó,2015-08-07,2015-08-07,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0501,AIS 13,Cascavel,2015-08-12,2015-08-10,NÃO INFORMADO,5.0,Feminino,NÃO INFORMADO,Criança
AI0440,AIS 04,Fortaleza,2015-08-13,2015-08-13,RESIDENCIA PARTICULAR,63.0,Feminino,DO LAR,Idoso
AI0821,AIS 19,Mauriti,2018-11-19,2015-08-13,VIA PUBLICA,10.0,Masculino,ESTUDANTE,Adolecencia
AI0821,AIS 19,Mauriti,2018-11-19,2015-08-13,VIA PUBLICA,8.0,Masculino,ESTUDANTE,Criança
AI0286,AIS 03,Fortaleza,2015-08-17,2015-08-16,RESIDENCIA PARTICULAR,11.0,Feminino,ESTUDANTE,Adolecencia
AI0286,AIS 03,Fortaleza,2015-08-17,2015-08-16,RESIDENCIA PARTICULAR,9.0,Masculino,NÃO INFORMADO,Criança
AI0731,AIS 16,Ipu,2015-08-18,2015-08-16,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0759,AIS 19,Juazeiro do Norte,2015-08-19,2015-08-19,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0803,AIS 18,Limoeiro do Norte,2015-09-21,2015-08-24,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0066,AIS 12,Maracanaú,2015-09-30,2015-08-24,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0089,AIS 12,Maracanaú,2015-08-27,2015-08-27,RESIDENCIA PARTICULAR,18.0,Masculino,ESTUDANTE,Jovem
AI0434,AIS 19,Assaré,2015-10-09,2015-09-08,NÃO INFORMADO,10.0,Masculino,ESTUDANTE,Adolecencia
AI0434,AIS 19,Assaré,2015-10-09,2015-09-08,NÃO INFORMADO,5.0,Feminino,ESTUDANTE,Criança
AI0189,AIS 02,Fortaleza,2015-10-01,2015-09-21,EDIFICIO PUBLICO,,Feminino,NÃO INFORMADO,
AI0478,AIS 14,Chaval,2015-09-24,2015-09-24,"BAR, RESTAURANTE, ETC",,NÃO INFORMADO,NÃO INFORMADO,
AI0142,AIS 12,Maracanaú,2015-09-28,2015-09-26,NÃO INFORMADO,,NÃO INFORMADO,NÃO INFORMADO,
AI0067,AIS 12,Maracanaú,2015-11-09,2015-09-28,REPARTICAO PUBLICA,17.0,Feminino,ESTUDANTE,Jovem
AI0091,AIS 12,Maracanaú,2015-09-29,2015-09-29,RESIDENCIA PARTICULAR,16.0,Masculino,SERVENTE DE PEDREIRO,Jovem
AI0979,AIS 20,Milhã,2015-10-01,2015-10-01,"BAR, RESTAURANTE, ETC",,NÃO INFORMADO,NÃO INFORMADO,
AI0929,AIS 20,Ibicuitinga,2015-10-06,2015-10-01,NÃO INFORMADO,20.0,Feminino,AGRICULTOR(A),Jovem
AI0851,AIS 16,Novo Oriente,2015-10-13,2015-10-05,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0510,AIS 14,Chaval,2015-10-06,2015-10-06,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0487,AIS 19,Campos Sales,2016-04-14,2015-10-14,NÃO INFORMADO,,NÃO INFORMADO,NÃO INFORMADO,
AI0512,AIS 14,Chaval,2015-10-27,2015-10-27,VIA PUBLICA,,NÃO INFORMADO,NÃO INFORMADO,
AI0717,AIS 21,Ipaumirim,2015-10-28,2015-10-28,VIA PUBLICA,,NÃO INFORMADO,NÃO INFORMADO,
AI0517,AIS 25,Chorozinho,2015-12-11,2015-12-03,RESIDENCIA PARTICULAR,13.0,Masculino,ESTUDANTE,Adolecencia
AI0517,AIS 25,Chorozinho,2015-12-11,2015-12-03,RESIDENCIA PARTICULAR,11.0,Masculino,ESTUDANTE,Adolecencia
AI0517,AIS 25,Chorozinho,2015-12-11,2015-12-03,RESIDENCIA PARTICULAR,16.0,Masculino,ESTUDANTE,Jovem
AI0178,AIS 12,Maracanaú,2015-12-07,2015-12-03,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0511,AIS 14,Chaval,2015-12-08,2015-12-07,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI1014,AIS 16,Tamboril,2015-12-16,2015-12-16,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0179,AIS 12,Maracanaú,2015-12-21,2015-12-20,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI1076,AIS 17,Umirim,2016-01-05,2015-12-29,RESIDENCIA PARTICULAR,2.0,Feminino,NÃO INFORMADO,Criança
AI1076,AIS 17,Umirim,2016-01-05,2015-12-29,RESIDENCIA PARTICULAR,3.0,Feminino,NÃO INFORMADO,Criança
AI1100,AIS 21,Várzea Alegre,2017-01-07,2016-01-07,RESIDENCIA PARTICULAR,4.0,Masculino,NÃO INFORMADO,Criança
AI1100,AIS 21,Várzea Alegre,2017-01-07,2016-01-07,RESIDENCIA PARTICULAR,12.0,Feminino,ESTUDANTE,Adolecencia
AI0843,AIS 22,Mombaça,2016-09-21,2016-01-11,RESIDENCIA PARTICULAR,50.0,Masculino,NÃO INFORMADO,Adulto
AI0843,AIS 22,Mombaça,2016-09-21,2016-01-11,RESIDENCIA PARTICULAR,72.0,Feminino,APOSENTADA,Idoso
AI1111,AIS 21,Várzea Alegre,2016-07-27,2016-01-11,RESIDENCIA PARTICULAR,11.0,Masculino,ESTUDANTE,Adolecencia
AI1111,AIS 21,Várzea Alegre,2016-07-27,2016-01-11,RESIDENCIA PARTICULAR,13.0,Feminino,ESTUDANTE,Adolecencia
AI1111,AIS 21,Várzea Alegre,2016-07-27,2016-01-11,RESIDENCIA PARTICULAR,14.0,Masculino,SERVENTE,Adolecencia
AI0404,AIS 18,Itaiçaba,2016-10-03,2016-01-14,RESIDENCIA PARTICULAR,7.0,Masculino,ESTUDANTE,Criança
AI0165,AIS 09,Fortaleza,2016-06-19,2016-01-19,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI1087,AIS 17,Uruburetama,2016-07-05,2016-02-03,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0930,AIS 18,Russas,2016-02-04,2016-02-04,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0722,AIS 16,Pires Ferreira,2019-07-16,2016-02-04,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0515,AIS 14,Chaval,2016-02-05,2016-02-05,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0500,AIS 13,Cascavel,2016-02-06,2016-02-06,RESIDENCIA PARTICULAR,15.0,Masculino,ESTUDANTE,Adolecencia
AI0500,AIS 13,Cascavel,2016-02-06,2016-02-06,RESIDENCIA PARTICULAR,50.0,Feminino,DO LAR,Adulto
AI1058,AIS 14,Ubajara,2016-02-07,2016-02-06,RESIDENCIA PARTICULAR,,Feminino,NÃO INFORMADO,
AI0209,AIS 10,Fortaleza,2016-02-21,2016-02-21,PRAIA,7.0,Feminino,ESTUDANTE,Criança
AI0726,AIS 16,Ipu,2016-02-25,2016-02-22,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0003,AIS 01,Fortaleza,2016-02-29,2016-02-29,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0618,AIS 17,Itapajé,2016-03-07,2016-03-02,VIA PUBLICA,7.0,Masculino,ESTUDANTE,Criança
AI0618,AIS 17,Itapajé,2016-03-07,2016-03-02,VIA PUBLICA,10.0,Feminino,ESTUDANTE,Adolecencia
AI0982,AIS 20,Senador Pompeu,2017-03-09,2016-03-03,RESIDENCIA PARTICULAR,16.0,Masculino,NÃO INFORMADO,Jovem
AI0982,AIS 20,Senador Pompeu,2017-03-09,2016-03-03,RESIDENCIA PARTICULAR,14.0,Feminino,NÃO INFORMADO,Adolecencia
AI1105,AIS 21,Várzea Alegre,2016-04-28,2016-03-04,RESIDENCIA PARTICULAR,9.0,Masculino,ESTUDANTE,Criança
AI0224,AIS 07,Fortaleza,2016-03-06,2016-03-06,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0148,AIS 12,Maracanaú,2016-03-11,2016-03-11,CASA COMERCIAL,5.0,Masculino,ESTUDANTE,Criança
AI1016,AIS 22,Catarina,2016-03-19,2016-03-19,RODOVIA,,NÃO INFORMADO,NÃO INFORMADO,
AI0776,AIS 19,Crato,2016-04-01,2016-04-01,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0527,AIS 16,Crateús,2016-04-06,2016-04-05,VIA PUBLICA,,NÃO INFORMADO,NÃO INFORMADO,
AI0083,AIS 12,Maracanaú,2016-04-08,2016-04-08,RESIDENCIA PARTICULAR,17.0,Masculino,ESTUDANTE,Jovem
AI0200,AIS 25,Itaitinga,2016-04-14,2016-04-14,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI1088,AIS 17,Uruburetama,2016-07-19,2016-04-16,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0187,AIS 13,Eusébio,2017-07-21,2016-04-18,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI1071,AIS 14,Ubajara,2016-05-31,2016-04-19,RESIDENCIA PARTICULAR,16.0,Feminino,DO LAR,Jovem
AI0621,AIS 17,Itapajé,2016-04-26,2016-04-26,RESIDENCIA PARTICULAR,15.0,Masculino,ESTUDANTE,Adolecencia
AI0068,AIS 12,Maracanaú,2016-07-28,2016-05-01,NÃO INFORMADO,,NÃO INFORMADO,NÃO INFORMADO,
AI0932,AIS 19,Antonina do Norte,2016-11-04,2016-05-11,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0327,AIS 19,Juazeiro do Norte,2016-05-12,2016-05-12,RESIDENCIA PARTICULAR,11.0,Feminino,NÃO INFORMADO,Adolecencia
AI0157,AIS 24,Pacatuba,2016-05-15,2016-05-15,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0919,AIS 18,Russas,2016-05-24,2016-05-23,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0591,AIS 14,Guaraciaba do Norte,2016-05-30,2016-05-28,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0997,AIS 14,Sobral,2016-05-31,2016-05-30,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0490,AIS 19,Campos Sales,2016-06-02,2016-06-02,RESIDENCIA PARTICULAR,3.0,Feminino,ESTUDANTE,Criança
AI0490,AIS 19,Campos Sales,2016-06-02,2016-06-02,RESIDENCIA PARTICULAR,11.0,Masculino,ESTUDANTE,Adolecencia
AI0490,AIS 19,Campos Sales,2016-06-02,2016-06-02,RESIDENCIA PARTICULAR,,Feminino,ESTUDANTE,
AI0106,AIS 03,Fortaleza,2016-06-07,2016-06-07,RESIDENCIA PARTICULAR,12.0,Masculino,ESTUDANTE,Adolecencia
AI0040,AIS 02,Fortaleza,2016-06-23,2016-06-23,RESIDENCIA PARTICULAR,7.0,Feminino,NÃO INFORMADO,Criança
AI0249,AIS 06,Fortaleza,2016-06-25,2016-06-25,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0674,AIS 21,Quixelô,2016-06-28,2016-06-28,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0164,AIS 12,Maracanaú,2016-06-28,2016-06-28,NÃO INFORMADO,,NÃO INFORMADO,NÃO INFORMADO,
AI0612,AIS 17,Itapajé,2016-06-30,2016-06-30,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0752,AIS 19,Altaneira,2016-07-08,2016-07-08,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0255,AIS 03,Fortaleza,2016-07-10,2016-07-10,RESIDENCIA PARTICULAR,7.0,Masculino,ESTUDANTE,Criança
AI1117,AIS 14,Viçosa do Ceará,2016-07-11,2016-07-11,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
